jd_id,candidate_a_id,candidate_b_id,preference,reason
jd_fs_01,cand_01,cand_08,1,"Alex has 100% must-have coverage and Tier-3 project evidence versus Carlos with missing Node.js"
jd_fs_01,cand_01,cand_09,1,"Alex has stronger full-stack project evidence and full backend coverage"
jd_fs_01,cand_09,cand_08,1,"Priya has verified frontend Tier-2/3 projects and higher must-have coverage"
jd_fs_01,cand_01,cand_06,1,"Alex has hands-on production metrics compared to Jordan's keyword-heavy resume"
jd_fs_01,cand_09,cand_06,1,"Priya demonstrates active projects whereas Jordan only lists keywords"
jd_fs_01,cand_08,cand_06,1,"Carlos has demonstrated database projects compared to keyword listing"
jd_fs_01,cand_08,cand_16,1,"Carlos is a valid parsed candidate whereas empty has 0 parseable text"
jd_fs_01,cand_01,cand_16,1,"Alex is a top-ranked candidate versus empty file"
jd_fs_01,cand_09,cand_16,1,"Priya is a high coverage candidate versus empty file"
jd_fs_01,cand_04,cand_02,1,"Elena has complete full-stack React+Node+PostgreSQL match versus Sarah's frontend-only focus"
jd_fs_01,cand_04,cand_08,1,"Elena has verified backend REST APIs matching full stack requirements"
jd_fs_01,cand_02,cand_06,1,"Sarah has demonstrated TypeScript library project compared to keyword stuffer"
jd_fs_01,cand_03,cand_06,1,"Marcus has transferable Express experience and verified backend projects"
jd_fs_01,cand_03,cand_16,1,"Marcus has complete backend skills versus empty resume"
jd_fs_01,cand_07,cand_06,1,"Maya has solid React and Tailwind portfolio projects"
jd_fs_01,cand_08,cand_13,1,"Carlos has full-stack development skills whereas Java-only candidate has negative bleed"
jd_fs_01,cand_01,cand_03,1,"Alex has direct Node.js must-have match and higher evidence tiers"
jd_fs_01,cand_05,cand_06,1,"Devin's short high-density project resume outscores keyword stuffer under student equity"
jd_fs_01,cand_01,cand_14,1,"Alex has technical software engineering skills versus non-technical retail profile"
jd_fs_01,cand_07,cand_14,1,"Maya is a qualified web developer versus retail cashier profile"
