text,requirement,tier,reason,group_id
"No relevant experience or skills found in this domain",Python,0,"No evidence of requirement in candidate profile",grp_001
"Candidate has not mentioned or demonstrated any background in this area",Kubernetes,0,"No evidence of requirement in candidate profile",grp_001
"Not listed in resume",AWS,0,"Requirement is entirely absent",grp_001
"Experience primarily in sales and marketing with no software background",React,0,"No technical overlap with requirement",grp_002
"Profile focuses entirely on graphic design and illustration",PostgreSQL,0,"No database or backend engineering evidence",grp_002
"Absence of any cloud infrastructure or deployment tooling",Docker,0,"No containerization tools listed",grp_003
"Resume contains no references to Java or JVM ecosystems",Java,0,"No programming language match",grp_003
"Skills: Python, Java, C++, JavaScript, SQL",Python,1,"Keyword listed in skills section without project context",grp_004
"Proficient in React, Node.js, HTML5, CSS3, and Tailwind",React,1,"Skill listed in header without implementation details",grp_004
"Technical competencies: Docker, Kubernetes, AWS, Terraform",Docker,1,"Tools enumerated without active verbs or deliverables",grp_005
"Core competencies include PostgreSQL, MongoDB, Redis",PostgreSQL,1,"Database list without implementation narrative",grp_005
"Familiar with TypeScript, Next.js, and GraphQL",TypeScript,1,"Familiarity stated without application evidence",grp_006
"Languages: C#, Go, Rust, Python, Ruby",Go,1,"Keyword in language list",grp_006
"Knowledge of CI/CD, GitHub Actions, Jenkins, Git",CI/CD,1,"Mention of tooling in summary bullet",grp_007
"Exposure to PyTorch, TensorFlow, Scikit-Learn",PyTorch,1,"Mention in coursework skills list",grp_007
"Completed coursework in Data Structures, Algorithms, and Operating Systems",Data Structures,1,"Academic coursework listing without project proof",grp_008
"Worked on a team of 5 engineers to deliver client deliverables",Agile,1,"Team size mention without personal outcome",grp_008
"Attended a 3-day workshop on Apache Kafka and event streaming",Kafka,1,"Workshop attendance without hands-on build",grp_009
"Certified in AWS Certified Cloud Practitioner",AWS,1,"Certification mention without architecture delivery",grp_009
"Participated in 24-hour hackathon focusing on AI tools",AI,1,"Hackathon participation without quantified deliverable",grp_010
"Built a full-stack task management dashboard using React, TypeScript, and Tailwind CSS",React,2,"Implemented full-stack application with active development verb",grp_011
"Developed RESTful backend microservices in FastAPI with PostgreSQL database integration",FastAPI,2,"Engineered backend services with database integration",grp_011
"Engineered an automated data extraction pipeline using Python and BeautifulSoup",Python,2,"Active engineering of automated pipeline",grp_012
"Implemented user authentication and role-based access control with JWT and Node.js",Node.js,2,"Implemented secure auth system in project",grp_012
"Created interactive data visualizations and charts using D3.js and Recharts",D3.js,2,"Created front-end data visualizations",grp_013
